ruleId,ruleRestriction,ruleCondition,ruleWeight,ruleOrigin,ruleKind,elementKind,processor,humanReadable,geshiLanguage,language,fragmentLocator,technology,role,tags,heading,description
_1,file,regexpr:#^antlr-(.*)\.jar$#,1,,,archive,,,,,,ANTLR,support,,ANTLR library version ${1},
_2,file,suffix:.gz,1,,,archive,,,,,,,,,,
ext_jar,file,suffix:.jar,1,,,archive,,,,,,,,,,
ext_rar,file,suffix:.rar,1,,,archive,,,,,,,,,,
_5,file,suffix:.tar,1,,,archive,,,,,,,,,,
_6,file,suffix:.tar.gz,1,,,archive,,,,,,,,,,
_7,file,suffix:.tgz,1,,,archive,,,,,,,,,,
_8,file,suffix:.zip,1,,,archive,,,,,,,,,,
_9,file,suffix:.class,1,,,binary,,,,,,,,,,
_10,file,suffix:.dll,1,,,binary,,,,,,,,,,
_11,file,suffix:.exe,1,,,binary,,,,,,,,,,
_12,file,suffix:.pdf,1,,,binary,,,,,,,,,,
_13,file,suffix:.ser,1,,,binary,,,,,,,,,,
ext_xls,file,suffix:.xls,1,,technologyBestPractice,binary,,,,,,MicroSoft Excel,,,,
_15,directory,path:application/views/,1,,,directory,,,,,,,,"mvc,view",,
_16,directory,path:application/views/forms/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_17,directory,path:application/views/layouts/scripts/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_18,directory,path:application/views/models/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_19,directory,path:application/views/scripts/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_20,directory,path:application/views/scripts/error/,1,,,directory,,,,,,Zend framework,,"mvc,view",,
_21,directory,is:client/,1,,,directory,,,,,,,,,,
_22,directory,is:dao/,1,,,directory,,,,,,,,,Data Access Object directory,
_23,directory,path:dao/factory/,1,,,directory,,,,,,,,,Factory for Data Access Objects,
_24,directory,path:dao/factory/hibernate/,1,,,directory,,,,,,Hibernate,,,,
_25,directory,is:features/,1,,,directory,,,,,,,,,,
_26,directory,is:gwt/,1,,,directory,,,,,,GWT,,,,
_27,directory,is:lang/,1,,,directory,,,,,,,,,,
_28,directory,is:operations/,1,,,directory,,,,,,,,,,
_29,directory,is:org/,1,,,directory,,,,,,,,,,
_30,directory,is:scripts/,1,,,directory,,,,,,,,,,
_31,directory,is:view/,1,,,directory,,,,,,,,,,
_32,file,suffix:.bmp,1,,,image,,,,,,,,,,
_33,file,suffix:.cache.png,1,,,image,,,,,,GWT,output,,,
