type,regexpr,kind,geshiLanguage,wikiLanguage,wikiTechnology,tags,urls
file,\.gitignore,source,text,,,git,http://help.github.com/ignore-files/ https://github.com/github/gitignore
file,\.gitkeep,source,text,,,git,
file,\.101meta,source,javascript,JavaScript,,,
file,AssemblyInfo\.cs,source,csharp,CSharp,,csharp,
file,Makefile,source,make,,,make,
file,makefile,source,make,,,make,
file,make\.bat,source,dos,,,batch,
file,build\.xml,source,xml,XML,,antlr,
file,README,source,text,,,doc,
file,README\.txt,source,text,,,doc,
file,README\.md,source,text,,,markdown,
file,readme\.txt,source,text,,,doc,
file,COPYING,source,text,,,doc,
file,LICENCE\.txt,source,text,,,doc,
file,MANIFEST\.MF,source,text,,,java,
file,pom\.xml,source,xml,XML,,maven,
file,Settings\.settings,source,text,,,csharp,
file,Settings\.Designer\.settings,source,text,,,csharp,
file,index\.html,source,html,HTML,,html,
file,Web\.config,source,text,,,,
file,\.htaccess,source,text,,,,
file,project\.properties,source,html,HTML,,properties,
file,hibernate\.cfg\.xml,source,xml,XML,,hibernate,
file,log4j\.properties,source,properties,,,log4j,
file,org\.eclipse\.jdt\.core\.prefs,source,xml,XML,,,
file,.*\.hbm\.xml,source,xml,XML,,hibernate,
file,.*\.txt,source,text,,,txt,http://www.fileinfo.com/extension/txt
file,.*\.md,source,text,,,markdown,http://www.fileinfo.com/extension/md
file,.*\.pdf,binary,,,,pdf,http://www.fileinfo.com/extension/pdf
file,.*\.exe,binary,,,,exe,http://www.fileinfo.com/extension/exe
file,.*\.dll,binary,,,,dll,http://www.fileinfo.com/extension/dll
file,.*\.gz,archive,,,,gzip,http://www.fileinfo.com/extension/gz
file,.*\.tar\.gz,archive,,,,gzip,http://www.fileinfo.com/extension/gz
file,.*\.tgz,archive,,,,gzip,http://www.fileinfo.com/extension/tgz
file,.*\.zip,archive,,,,zip,http://www.fileinfo.com/extension/zip
file,.*\.tar,archive,,,,tar,http://www.fileinfo.com/extension/tar
file,.*\.bat,source,dos,,,batch,http://www.fileinfo.com/extension/bat
file,.*\.cmd,source,dos,,,batch,http://www.fileinfo.com/extension/cmd
file,.*\.cob,source,cobol,Cobol,,cobol,http://www.fileinfo.com/extension/cob
file,.*\.erl,source,erlang,Erlang,,erlang,http://www.fileinfo.com/extension/erl
file,.*\.groovy,source,groovy,Groovy,,groovy,
file,.*\.py,source,python,Python,,python,http://www.fileinfo.com/extension/py
file,.*\.xtext,source,text,,Xtext,xtext,
file,.*\.rsc,source,text,Rascal,,rascal,
file,.*\.st,source,smalltalk,Smalltalk,,smalltalk,
file,.*\.ml,source,text,,,ml,
file,.*\.g,source,text,,ANTLR,antlr,
file,.*\.tokens,source,text,,ANTLR,antlr,
file,.*\.sdf,source,text,,,stratego,
file,.*\.esv,source,text,,,stratego,
file,.*\.str,source,text,,,stratego,
file,.*\.pro,source,text,,,prolog,
file,.*\.atl,source,text,ATL,,atl,
file,.*\.km3,source,text,,,atl,
file,.*\.clj,source,closure,Clojure,,clojure,
file,.*\.rb,source,ruby,Ruby,,ruby,http://www.fileinfo.com/extension/rb
file,.*\.erb,source,text,,,ruby,
file,.*\.sh,source,bash,,,bash,http://www.fileinfo.com/extension/sql
file,.*\.scala,source,scala,Scala,,scala,
file,.*\.sql,source,sql,SQL,,sql,http://www.fileinfo.com/extension/sql
file,.*\.sqlsettings,source,sql,SQL,,sql,http://www.fileinfo.com/extension/sql
file,.*\.sqlcmdvars,source,sql,SQL,,sql,http://www.fileinfo.com/extension/sql
file,.*\.sqldeployment,source,sql,SQL,,sql,http://www.fileinfo.com/extension/sql
file,.*\.sqlpermissions,source,sql,SQL,,sql,http://www.fileinfo.com/extension/sql
file,.*\.trigger\.sql,source,sql,SQL,,sql,http://www.fileinfo.com/extension/sql
